f1,f2,f3,f4,f5,f6,time
1,1,-1,1,-1,-1,7.334981878871814
1,1,-1,1,-1,-1,7.267525427828172
-1,1,-1,1,-1,1,6.703188113240863
-1,1,-1,1,-1,1,7.119635638017636
-1,1,-1,1,-1,1,7.107425474110705
-1,1,-1,1,-1,1,7.074116816197362
-1,1,-1,1,-1,1,6.975413927455952
-1,1,-1,1,-1,1,7.029972911706386
-1,1,-1,1,-1,1,7.063903961472068
-1,1,-1,1,-1,1,7.01301578963963
-1,1,-1,1,-1,1,7.174724309836376
-1,1,-1,1,-1,1,7.165493475060845
-1,1,1,1,1,-1,6.568077911411976
-1,1,1,1,1,-1,6.736966958001855
-1,1,1,1,1,-1,7.393263094763838
-1,1,1,1,1,-1,7.954372272531867
-1,1,1,1,1,-1,6.505784060128229
-1,1,1,1,1,-1,7.121252453244542
-1,1,1,1,1,-1,7.201916317531627
-1,1,1,1,1,-1,6.68586094706836
-1,1,1,1,1,-1,6.285998094508865
-1,1,1,1,1,-1,6.7226297948554485
1,1,-1,-1,-1,1,7.226209010100671
1,1,-1,-1,-1,1,7.129297548929373
1,1,-1,-1,-1,1,7.3783837129967145
1,1,-1,-1,-1,1,7.326465613840322
1,1,-1,-1,-1,1,7.198183577101943
1,1,-1,-1,-1,1,7.206377291472252
1,1,-1,-1,-1,1,7.15305163493748
1,1,-1,-1,-1,1,7.52131798019924
1,1,-1,-1,-1,1,7.5766097669730375
1,1,-1,-1,-1,1,7.266827347520591
1,-1,1,1,1,-1,1591
1,-1,1,1,1,-1,1577
